Iteracion,numAdders,numRemovers,Time (ms)
0,10000,1,9,1480.219128
0,10000,2,8,1597.385416
0,10000,3,7,1244.989232
0,10000,4,6,1930.710633
0,10000,5,5,1626.317202
0,10000,6,4,1675.042087
0,10000,7,3,1821.378701
0,10000,8,2,1831.75258
0,10000,9,1,1803.492407
1,10000,1,9,321.974445
1,10000,2,8,1549.138599
1,10000,3,7,1786.004083
1,10000,4,6,1349.683906
1,10000,5,5,1585.174661
1,10000,6,4,1474.983938
1,10000,7,3,1697.356031
1,10000,8,2,2014.445605
1,10000,9,1,1776.371047
2,10000,1,9,1402.439294
2,10000,2,8,1090.45014
2,10000,3,7,1111.318314
2,10000,4,6,1448.841134
2,10000,5,5,1924.153864
2,10000,6,4,1287.694386
2,10000,7,3,1677.421449
2,10000,8,2,1882.319691
2,10000,9,1,1664.042971
3,10000,1,9,1609.405889
3,10000,2,8,1479.317865
3,10000,3,7,1299.240305
3,10000,4,6,1830.020464
3,10000,5,5,1582.931341
3,10000,6,4,1886.033241
3,10000,7,3,2036.32325
3,10000,8,2,1728.049254
3,10000,9,1,1753.293947
4,10000,1,9,1176.940205
4,10000,2,8,1432.474122
4,10000,3,7,1257.178988
4,10000,4,6,1747.356091
4,10000,5,5,1767.720568
4,10000,6,4,1825.242178
4,10000,7,3,1670.742959
4,10000,8,2,1754.166628
4,10000,9,1,2016.845762
5,10000,1,9,1281.876061
5,10000,2,8,1479.402241
5,10000,3,7,1636.305564
5,10000,4,6,1794.98519
5,10000,5,5,1575.287868
5,10000,6,4,1713.239741
5,10000,7,3,1631.662709
5,10000,8,2,1771.278123
5,10000,9,1,1781.058711
6,10000,1,9,642.841509
6,10000,2,8,480.798658
6,10000,3,7,1314.872833
6,10000,4,6,1643.353909
6,10000,5,5,1922.199329
6,10000,6,4,1936.124345
6,10000,7,3,1747.69478
6,10000,8,2,1755.614867
6,10000,9,1,1650.388332
7,10000,1,9,1291.55067
7,10000,2,8,1126.587518
7,10000,3,7,1265.356714
7,10000,4,6,1333.881936
7,10000,5,5,1753.485621
7,10000,6,4,1798.374039
7,10000,7,3,1974.279932
7,10000,8,2,1315.870256
7,10000,9,1,1765.82323
8,10000,1,9,1611.119271
8,10000,2,8,566.508018
8,10000,3,7,1653.869415
8,10000,4,6,1536.788573
8,10000,5,5,1660.26268
8,10000,6,4,1715.225614
8,10000,7,3,1699.402224
8,10000,8,2,1887.840842
8,10000,9,1,1896.003548
9,10000,1,9,1318.887673
9,10000,2,8,1668.157918
9,10000,3,7,1317.675888
9,10000,4,6,1794.856934
9,10000,5,5,1401.844038
9,10000,6,4,1700.821013
9,10000,7,3,1949.451584
9,10000,8,2,1673.71464
9,10000,9,1,1825.567196
10,10000,1,9,1580.753016
10,10000,2,8,1514.904261
10,10000,3,7,1334.658569
10,10000,4,6,1631.626168
10,10000,5,5,1506.267757
10,10000,6,4,2004.67974
10,10000,7,3,1794.058611
10,10000,8,2,1194.539236
10,10000,9,1,1701.400616
11,10000,1,9,505.355057
11,10000,2,8,1083.922968
11,10000,3,7,1340.969111
11,10000,4,6,1016.524676
11,10000,5,5,1600.375089
11,10000,6,4,1646.368501
11,10000,7,3,1838.331245
11,10000,8,2,1756.980724
11,10000,9,1,1830.392078
12,10000,1,9,1258.678178
12,10000,2,8,973.394921
12,10000,3,7,1439.96593
12,10000,4,6,1377.159888
12,10000,5,5,1629.07614
12,10000,6,4,1646.000562
12,10000,7,3,1789.278692
12,10000,8,2,1706.624003
12,10000,9,1,1726.293873
13,10000,1,9,1305.567631
13,10000,2,8,1631.763067
13,10000,3,7,972.739616
13,10000,4,6,1451.961888
