Iteracion,numAdders,numRemovers,Time (ms)
0,10000,1,9,440.441713
0,10000,2,8,164.54405
0,10000,3,7,178.223987
0,10000,4,6,206.771416
0,10000,5,5,311.417964
0,10000,6,4,184.562952
0,10000,7,3,194.746347
0,10000,8,2,11.549076
0,10000,9,1,20.899579
1,10000,1,9,376.760869
1,10000,2,8,258.795198
1,10000,3,7,225.5493
1,10000,4,6,257.639493
1,10000,5,5,198.86275
1,10000,6,4,116.758131
1,10000,7,3,86.352523
1,10000,8,2,26.012567
1,10000,9,1,16.04391
2,10000,1,9,279.210392
2,10000,2,8,260.744525
2,10000,3,7,425.968594
2,10000,4,6,211.611141
2,10000,5,5,171.120551
2,10000,6,4,203.484581
2,10000,7,3,193.320365
2,10000,8,2,40.888491
2,10000,9,1,19.603863
3,10000,1,9,370.68861
3,10000,2,8,279.028362
3,10000,3,7,479.665111
3,10000,4,6,250.70267
3,10000,5,5,244.434508
3,10000,6,4,160.491427
3,10000,7,3,95.70821
3,10000,8,2,34.136792
3,10000,9,1,30.569158
4,10000,1,9,372.837553
4,10000,2,8,155.379047
4,10000,3,7,371.077831
4,10000,4,6,373.301186
4,10000,5,5,247.938148
4,10000,6,4,185.912774
4,10000,7,3,113.218087
4,10000,8,2,23.360945
4,10000,9,1,312.111308
5,10000,1,9,227.233541
5,10000,2,8,367.528341
5,10000,3,7,220.090707
5,10000,4,6,314.045368
5,10000,5,5,291.828439
5,10000,6,4,281.610762
5,10000,7,3,64.688791
5,10000,8,2,34.212324
5,10000,9,1,14.760374
6,10000,1,9,328.766284
6,10000,2,8,512.532312
6,10000,3,7,401.103473
6,10000,4,6,417.389017
6,10000,5,5,314.88381
6,10000,6,4,137.488691
6,10000,7,3,101.715615
6,10000,8,2,18.330282
6,10000,9,1,19.038978
7,10000,1,9,534.631449
7,10000,2,8,104.427368
7,10000,3,7,422.279309
7,10000,4,6,323.731493
7,10000,5,5,306.982279
7,10000,6,4,308.137951
7,10000,7,3,59.851045
7,10000,8,2,38.021592
7,10000,9,1,17.062858
8,10000,1,9,162.487772
8,10000,2,8,444.789942
8,10000,3,7,326.86522
8,10000,4,6,289.657407
