Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
0,10000,2,389.198058
0,10000,4,962.746599
0,10000,6,979.669064
0,10000,8,1181.592231
0,10000,10,1808.327222
1,10000,2,737.74264
1,10000,4,668.220019
1,10000,6,904.30346
1,10000,8,1387.537572
1,10000,10,1690.949873
2,10000,2,694.926894
2,10000,4,724.510021
2,10000,6,1030.633266
2,10000,8,991.198898
2,10000,10,1519.236796
3,10000,2,576.614541
3,10000,4,689.393704
3,10000,6,922.886696
3,10000,8,1035.466304
3,10000,10,345.638422
4,10000,2,702.78585
4,10000,4,652.382579
4,10000,6,994.216988
4,10000,8,1347.55498
4,10000,10,1489.710831
5,10000,2,663.881492
5,10000,4,673.158744
5,10000,6,953.80877
5,10000,8,1410.461703
5,10000,10,1815.318539
6,10000,2,709.530648
6,10000,4,795.198072
6,10000,6,781.937981
6,10000,8,1352.027531
6,10000,10,1306.034727
7,10000,2,694.880756
7,10000,4,245.628854
7,10000,6,985.98658
7,10000,8,924.99362
7,10000,10,1516.474024
8,10000,2,658.502523
8,10000,4,753.151676
8,10000,6,1035.944187
8,10000,8,1385.770287
8,10000,10,1663.242818
9,10000,2,582.228754
9,10000,4,633.03403
9,10000,6,746.646082
9,10000,8,1111.389809
9,10000,10,1787.696784
10,10000,2,691.104926
10,10000,4,728.300407
10,10000,6,866.865803
10,10000,8,1216.771708
10,10000,10,1560.788405
11,10000,2,292.876628
11,10000,4,697.114619
11,10000,6,1024.360375
11,10000,8,1424.688731
11,10000,10,1434.852399
12,10000,2,688.66611
12,10000,4,689.658967
12,10000,6,1080.924542
12,10000,8,1354.248574
12,10000,10,1559.915977
13,10000,2,692.337431
13,10000,4,714.504006
13,10000,6,847.029795
13,10000,8,1268.004857
13,10000,10,1644.642738
14,10000,2,705.978343
14,10000,4,774.086212
14,10000,6,813.726672
14,10000,8,1401.697528
14,10000,10,1813.957752
15,10000,2,704.088315
15,10000,4,678.809494
15,10000,6,871.485494
15,10000,8,1680.643353
15,10000,10,1499.815336
16,10000,2,694.321104
16,10000,4,757.679502
16,10000,6,952.471983
16,10000,8,1363.885431
16,10000,10,1630.160835
17,10000,2,584.001124
17,10000,4,628.540494
17,10000,6,957.097
17,10000,8,960.97564
17,10000,10,1917.363074
18,10000,2,665.263963
18,10000,4,828.585938
18,10000,6,834.945548
18,10000,8,1351.203666
18,10000,10,1545.230498
19,10000,2,703.49229
19,10000,4,869.802023
19,10000,6,1008.206778
19,10000,8,1581.365285
19,10000,10,1621.402812
20,10000,2,696.798609
20,10000,4,754.006435
20,10000,6,889.48953
20,10000,8,1301.078854
20,10000,10,1527.177074
21,10000,2,731.972081
21,10000,4,690.716096
21,10000,6,887.639813
21,10000,8,960.856062
21,10000,10,464.669467
22,10000,2,698.010855
22,10000,4,772.618922
22,10000,6,847.081137
22,10000,8,924.578348
22,10000,10,1773.408159
23,10000,2,346.334794
23,10000,4,762.681597
23,10000,6,895.847176
23,10000,8,1282.026654
23,10000,10,1693.59051
24,10000,2,734.79578
24,10000,4,654.037528
24,10000,6,1012.731926
24,10000,8,1670.619623
24,10000,10,1406.878342
25,10000,2,703.685201
25,10000,4,774.119531
25,10000,6,960.042499
25,10000,8,854.623965
25,10000,10,1080.924865
26,10000,2,740.496772
26,10000,4,696.280862
26,10000,6,930.654601
26,10000,8,1443.930016
26,10000,10,1478.238903
27,10000,2,713.980678
27,10000,4,676.178666
27,10000,6,851.025363
27,10000,8,769.816357
27,10000,10,1868.129744
28,10000,2,711.275687
28,10000,4,694.566879
28,10000,6,823.947403
