Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
0,10000,2,555.786885
0,10000,4,428.328577
0,10000,6,367.597489
0,10000,8,566.578348
0,10000,10,509.497872
1,10000,2,7.90494
1,10000,4,10.196426
1,10000,6,449.622475
1,10000,8,557.067445
1,10000,10,613.588754
2,10000,2,454.973622
2,10000,4,491.890029
2,10000,6,457.729303
2,10000,8,555.245568
2,10000,10,573.319677
3,10000,2,104.87517
3,10000,4,193.432532
3,10000,6,544.590009
3,10000,8,8.443376
3,10000,10,555.350014
4,10000,2,235.246609
4,10000,4,465.987583
4,10000,6,530.392947
4,10000,8,550.439835
4,10000,10,596.618238
5,10000,2,397.470075
5,10000,4,449.810171
5,10000,6,539.322185
5,10000,8,79.678361
5,10000,10,519.095346
6,10000,2,20.210682
6,10000,4,146.550492
6,10000,6,558.904344
6,10000,8,496.945932
6,10000,10,509.168684
7,10000,2,428.235957
7,10000,4,486.24308
7,10000,6,533.880516
7,10000,8,510.113852
7,10000,10,649.297899
8,10000,2,221.344259
8,10000,4,287.175011
8,10000,6,506.343552
8,10000,8,534.692867
8,10000,10,400.70632
9,10000,2,24.789101
9,10000,4,233.901492
9,10000,6,472.026458
9,10000,8,541.654109
9,10000,10,548.091936
10,10000,2,465.591446
10,10000,4,480.42568
10,10000,6,464.980949
10,10000,8,166.93142
10,10000,10,554.80564
11,10000,2,19.435947
11,10000,4,511.773588
11,10000,6,530.698979
11,10000,8,501.725466
11,10000,10,578.403226
12,10000,2,13.360292
12,10000,4,514.134764
12,10000,6,400.969308
12,10000,8,406.83307
12,10000,10,641.438469
13,10000,2,151.617803
13,10000,4,469.910147
13,10000,6,535.045746
13,10000,8,467.069121
13,10000,10,581.269796
14,10000,2,17.025501
14,10000,4,446.714582
14,10000,6,536.030941
14,10000,8,33.570602
14,10000,10,577.23988
15,10000,2,426.245411
15,10000,4,490.321033
15,10000,6,496.254218
15,10000,8,530.362952
15,10000,10,598.328011
16,10000,2,174.027423
16,10000,4,471.445953
16,10000,6,509.794738
16,10000,8,526.198578
16,10000,10,564.872835
17,10000,2,14.180719
17,10000,4,496.847609
17,10000,6,535.621277
17,10000,8,507.622797
17,10000,10,643.989283
18,10000,2,428.370675
18,10000,4,208.50698
18,10000,6,127.828942
18,10000,8,519.010647
18,10000,10,601.480013
19,10000,2,393.587525
19,10000,4,465.413971
19,10000,6,544.759983
19,10000,8,510.236154
19,10000,10,571.951764
20,10000,2,61.860015
20,10000,4,480.739341
20,10000,6,544.760162
20,10000,8,529.943982
20,10000,10,600.479779
21,10000,2,442.637173
21,10000,4,504.95916
21,10000,6,450.906237
21,10000,8,581.574389
21,10000,10,536.551367
22,10000,2,415.465221
22,10000,4,461.898963
22,10000,6,511.870889
22,10000,8,579.107742
22,10000,10,735.43035
23,10000,2,135.378289
23,10000,4,334.036006
23,10000,6,284.902931
23,10000,8,599.153279
23,10000,10,585.133453
24,10000,2,16.745902
24,10000,4,500.497501
24,10000,6,469.35842
24,10000,8,112.312444
24,10000,10,658.5955
25,10000,2,35.465229
25,10000,4,154.037169
25,10000,6,389.695349
25,10000,8,570.058557
25,10000,10,597.916061
26,10000,2,89.110541
26,10000,4,258.143675
26,10000,6,544.194664
26,10000,8,482.653181
26,10000,10,580.274339
27,10000,2,131.223861
27,10000,4,14.725835
27,10000,6,104.941319
27,10000,8,581.72887
27,10000,10,571.356492
28,10000,2,25.414986
28,10000,4,517.481691
28,10000,6,536.205733
28,10000,8,565.827329
28,10000,10,574.690825
29,10000,2,99.27771
29,10000,4,76.661409
29,10000,6,515.932715
29,10000,8,626.677436
29,10000,10,549.302038
30,10000,2,75.955763
30,10000,4,300.280457
30,10000,6,553.148494
30,10000,8,585.285134
30,10000,10,199.512547
31,10000,2,20.730222
31,10000,4,490.643681
31,10000,6,532.825198
31,10000,8,569.702266
31,10000,10,581.984732
32,10000,2,14.387603
32,10000,4,508.363435
32,10000,6,535.893012
32,10000,8,287.141636
32,10000,10,665.377037
33,10000,2,141.243753
33,10000,4,468.364395
33,10000,6,533.368825
33,10000,8,510.141598
33,10000,10,621.4309
34,10000,2,72.083979
34,10000,4,459.098031
34,10000,6,543.204179
34,10000,8,551.820233
34,10000,10,527.440794
35,10000,2,465.858399
35,10000,4,494.16466
35,10000,6,512.883448
35,10000,8,492.022715
35,10000,10,569.343739
36,10000,2,477.420768
36,10000,4,471.81092
36,10000,6,530.420069
36,10000,8,511.517594
36,10000,10,624.151421
37,10000,2,248.947873
37,10000,4,101.302742
37,10000,6,334.25449
37,10000,8,172.306685
37,10000,10,573.597009
38,10000,2,99.042638
38,10000,4,436.665722
38,10000,6,501.914885
38,10000,8,518.680881
38,10000,10,737.173194
39,10000,2,397.363779
39,10000,4,66.259017
39,10000,6,526.365477
39,10000,8,416.147966
39,10000,10,499.517629
40,10000,2,186.250999
40,10000,4,482.437826
40,10000,6,453.17201
40,10000,8,94.086586
40,10000,10,678.738842
41,10000,2,144.053589
41,10000,4,484.260457
41,10000,6,541.173872
41,10000,8,297.683262
41,10000,10,568.53044
42,10000,2,33.99594
42,10000,4,184.365556
42,10000,6,46.941903
42,10000,8,553.252902
42,10000,10,564.931164
43,10000,2,100.268092
43,10000,4,176.888888
43,10000,6,40.776636
43,10000,8,497.169409
43,10000,10,557.195072
44,10000,2,154.695386
44,10000,4,59.99528
44,10000,6,547.13881
44,10000,8,516.79619
44,10000,10,567.77448
45,10000,2,40.675407
45,10000,4,500.230169
45,10000,6,540.647699
45,10000,8,520.598089
45,10000,10,572.158762
46,10000,2,70.812017
46,10000,4,423.475117
46,10000,6,4.269424
46,10000,8,564.041603
46,10000,10,564.568117
47,10000,2,435.304258
47,10000,4,95.682357
47,10000,6,456.389705
47,10000,8,185.378753
47,10000,10,570.295824
48,10000,2,70.339886
48,10000,4,748.60262
48,10000,6,489.394878
48,10000,8,391.934874
48,10000,10,553.548492
49,10000,2,146.546971
49,10000,4,312.623654
49,10000,6,542.208611
49,10000,8,537.594372
49,10000,10,568.545872
