Iteracion,numAdders,numRemovers,Time (ms)
0,10000,1,9,113.943394
0,10000,2,8,56.23975
0,10000,3,7,202.120251
0,10000,4,6,492.345737
0,10000,5,5,162.078321
0,10000,6,4,355.533464
0,10000,7,3,546.988116
0,10000,8,2,159.064053
0,10000,9,1,29.954439
1,10000,1,9,330.245003
1,10000,2,8,11.293233
1,10000,3,7,12.012635
1,10000,4,6,11.418356
1,10000,5,5,9.946733
1,10000,6,4,236.17261
1,10000,7,3,13.862172
1,10000,8,2,233.258341
1,10000,9,1,412.536165
2,10000,1,9,293.975089
2,10000,2,8,268.358521
2,10000,3,7,399.385321
2,10000,4,6,239.718709
2,10000,5,5,535.523915
2,10000,6,4,232.112574
2,10000,7,3,493.95277
2,10000,8,2,481.496964
2,10000,9,1,389.598753
3,10000,1,9,22.233321
3,10000,2,8,442.227166
3,10000,3,7,187.297044
3,10000,4,6,427.259178
3,10000,5,5,511.149345
3,10000,6,4,512.105229
3,10000,7,3,258.036038
3,10000,8,2,529.343854
3,10000,9,1,295.539577
4,10000,1,9,15.333257
4,10000,2,8,230.035948
4,10000,3,7,198.712392
4,10000,4,6,475.322923
4,10000,5,5,427.334256
4,10000,6,4,171.117005
4,10000,7,3,489.885842
4,10000,8,2,367.483578
4,10000,9,1,525.009919
5,10000,1,9,17.231156
5,10000,2,8,48.19818
5,10000,3,7,100.510207
5,10000,4,6,459.975999
5,10000,5,5,515.805811
5,10000,6,4,117.573725
5,10000,7,3,443.186282
5,10000,8,2,376.231477
5,10000,9,1,517.803824
6,10000,1,9,191.929166
6,10000,2,8,291.414273
6,10000,3,7,51.889463
6,10000,4,6,485.21722
6,10000,5,5,313.493892
6,10000,6,4,527.408684
6,10000,7,3,442.664211
6,10000,8,2,507.683271
6,10000,9,1,506.63367
7,10000,1,9,29.673785
7,10000,2,8,333.170756
7,10000,3,7,345.537535
7,10000,4,6,436.26141
7,10000,5,5,515.697577
7,10000,6,4,544.220023
7,10000,7,3,482.443257
7,10000,8,2,507.9084
7,10000,9,1,528.802942
8,10000,1,9,46.017696
8,10000,2,8,195.379416
8,10000,3,7,82.967724
8,10000,4,6,519.380154
8,10000,5,5,513.561359
8,10000,6,4,46.130691
8,10000,7,3,106.113745
8,10000,8,2,547.151147
8,10000,9,1,535.497632
9,10000,1,9,66.755391
9,10000,2,8,387.90486
9,10000,3,7,64.803635
9,10000,4,6,129.425122
9,10000,5,5,482.315025
9,10000,6,4,469.970469
9,10000,7,3,410.559453
9,10000,8,2,460.385025
9,10000,9,1,64.229941
10,10000,1,9,4.45256
10,10000,2,8,251.142911
10,10000,3,7,516.807906
10,10000,4,6,388.192435
10,10000,5,5,465.219815
10,10000,6,4,252.269792
10,10000,7,3,465.040383
10,10000,8,2,129.004
10,10000,9,1,454.993658
11,10000,1,9,15.258178
11,10000,2,8,86.589517
11,10000,3,7,401.094963
11,10000,4,6,495.977452
11,10000,5,5,479.696533
11,10000,6,4,255.740256
11,10000,7,3,384.733758
11,10000,8,2,545.903936
11,10000,9,1,479.503468
12,10000,1,9,15.982198
12,10000,2,8,460.941257
12,10000,3,7,58.110951
12,10000,4,6,469.434587
12,10000,5,5,545.260346
12,10000,6,4,559.237636
12,10000,7,3,531.894685
12,10000,8,2,575.053441
12,10000,9,1,588.253748
13,10000,1,9,21.717201
13,10000,2,8,484.930295
13,10000,3,7,463.337899
13,10000,4,6,523.119588
13,10000,5,5,604.370245
13,10000,6,4,533.254264
13,10000,7,3,131.891098
13,10000,8,2,588.742113
13,10000,9,1,512.333732
14,10000,1,9,14.900237
