Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
0,10000,2,18.635308
0,10000,4,234.788961
0,10000,6,426.622722
0,10000,8,188.192828
0,10000,10,260.137086
1,10000,2,6.288273
1,10000,4,18.166243
1,10000,6,142.946565
1,10000,8,212.280054
1,10000,10,557.085217
2,10000,2,2.982492
2,10000,4,13.232825
2,10000,6,106.966793
2,10000,8,473.706873
2,10000,10,187.183732
3,10000,2,7.970739
3,10000,4,5.375176
3,10000,6,63.94436
3,10000,8,401.934436
3,10000,10,223.523582
4,10000,2,6.05595
4,10000,4,302.480756
4,10000,6,110.631218
4,10000,8,347.327925
4,10000,10,286.238557
5,10000,2,4.568179
5,10000,4,85.980301
5,10000,6,136.379968
5,10000,8,450.571702
5,10000,10,273.874829
6,10000,2,7.774642
6,10000,4,12.67311
6,10000,6,125.128393
6,10000,8,245.595837
6,10000,10,380.041256
7,10000,2,5.374942
7,10000,4,36.661982
7,10000,6,260.286832
7,10000,8,196.676142
7,10000,10,313.069006
8,10000,2,3.596412
8,10000,4,166.245638
8,10000,6,336.630904
8,10000,8,148.116196
8,10000,10,275.67972
9,10000,2,7.037772
9,10000,4,14.53198
9,10000,6,163.296661
9,10000,8,265.206404
9,10000,10,340.67219
10,10000,2,5.12183
10,10000,4,20.049456
10,10000,6,50.286979
10,10000,8,218.42514
10,10000,10,390.949046
11,10000,2,4.591213
11,10000,4,25.985783
11,10000,6,401.963308
11,10000,8,321.073738
11,10000,10,292.109151
12,10000,2,6.172198
12,10000,4,64.667088
12,10000,6,274.144906
12,10000,8,442.718483
12,10000,10,162.439868
13,10000,2,4.785596
13,10000,4,5.170155
13,10000,6,99.709991
13,10000,8,194.656368
13,10000,10,287.033527
14,10000,2,5.898077
14,10000,4,60.323089
14,10000,6,25.83263
14,10000,8,215.12046
14,10000,10,285.649621
15,10000,2,5.08034
15,10000,4,93.301616
15,10000,6,404.564939
15,10000,8,205.374885
15,10000,10,413.400143
16,10000,2,4.829976
16,10000,4,452.958549
16,10000,6,67.099302
16,10000,8,218.633376
16,10000,10,181.755594
17,10000,2,6.34668
17,10000,4,183.913977
17,10000,6,487.271799
17,10000,8,257.852208
17,10000,10,296.7068
18,10000,2,7.089779
18,10000,4,54.702119
18,10000,6,264.167943
18,10000,8,171.457089
18,10000,10,442.577947
19,10000,2,5.918431
19,10000,4,49.066722
19,10000,6,287.733234
19,10000,8,131.112105
19,10000,10,217.090972
20,10000,2,5.054997
20,10000,4,111.132583
20,10000,6,279.784333
20,10000,8,174.141243
20,10000,10,269.419001
21,10000,2,5.6119
21,10000,4,195.533978
21,10000,6,131.675095
21,10000,8,256.042226
21,10000,10,294.373732
22,10000,2,4.871045
22,10000,4,6.341625
22,10000,6,335.473425
22,10000,8,144.198807
22,10000,10,386.051102
23,10000,2,5.947267
