Iteracion,OperacionesTotales,OperacionesPorHilo,CantidadHilos,Time (ms)
0,96000,48000,2,8639.772274
0,96000,24000,4,987.352685
0,96000,16000,6,422.293176
0,96000,12000,8,509.633915
0,96000,9600,10,421.905285
1,96000,48000,2,8248.40268
1,96000,24000,4,1533.781601
1,96000,16000,6,642.801174
1,96000,12000,8,523.725259
1,96000,9600,10,480.454624
2,96000,48000,2,9154.612386
2,96000,24000,4,1524.700332
2,96000,16000,6,698.841031
2,96000,12000,8,56.684831
2,96000,9600,10,492.599304
3,96000,48000,2,7876.259327
3,96000,24000,4,1605.1022
3,96000,16000,6,658.053023
3,96000,12000,8,546.485069
3,96000,9600,10,382.239787
4,96000,48000,2,4769.883931
4,96000,24000,4,1495.037944
4,96000,16000,6,672.156077
4,96000,12000,8,278.00437
4,96000,9600,10,331.790251
5,96000,48000,2,1686.449882
5,96000,24000,4,1583.28195
5,96000,16000,6,403.273766
5,96000,12000,8,546.649627
5,96000,9600,10,429.749237
6,96000,48000,2,5154.160866
6,96000,24000,4,1513.662831
6,96000,16000,6,664.221836
6,96000,12000,8,540.804429
6,96000,9600,10,170.146733
7,96000,48000,2,6266.134604
7,96000,24000,4,539.557851
7,96000,16000,6,652.105846
7,96000,12000,8,525.715889
7,96000,9600,10,454.503538
8,96000,48000,2,949.336902
8,96000,24000,4,1406.966385
8,96000,16000,6,685.939516
8,96000,12000,8,5.863557
8,96000,9600,10,418.487249
9,96000,48000,2,8642.902776
9,96000,24000,4,1502.713399
9,96000,16000,6,698.724342
9,96000,12000,8,550.894203
9,96000,9600,10,468.233162
10,96000,48000,2,9587.960211
10,96000,24000,4,1345.151801
10,96000,16000,6,722.203363
10,96000,12000,8,5.687936
10,96000,9600,10,394.837853
11,96000,48000,2,6714.760861
11,96000,24000,4,1582.497914
11,96000,16000,6,627.353019
11,96000,12000,8,578.944706
11,96000,9600,10,478.768377
12,96000,48000,2,1889.945071
12,96000,24000,4,611.0236
12,96000,16000,6,704.766507
12,96000,12000,8,447.077032
12,96000,9600,10,437.830722
13,96000,48000,2,1034.500736
13,96000,24000,4,1154.398955
13,96000,16000,6,712.965766
13,96000,12000,8,47.561394
13,96000,9600,10,553.094024
14,96000,48000,2,8976.227999
14,96000,24000,4,1281.448455
14,96000,16000,6,714.854985
14,96000,12000,8,489.099597
14,96000,9600,10,458.335833
15,96000,48000,2,9120.262165
15,96000,24000,4,1251.672395
15,96000,16000,6,475.015846
15,96000,12000,8,59.014804
15,96000,9600,10,434.803692
16,96000,48000,2,8517.718621
16,96000,24000,4,627.648126
16,96000,16000,6,577.661379
16,96000,12000,8,442.776341
16,96000,9600,10,429.475555
17,96000,48000,2,5440.57757
17,96000,24000,4,1487.38714
17,96000,16000,6,572.534583
17,96000,12000,8,305.945661
17,96000,9600,10,486.173982
18,96000,48000,2,825.105111
18,96000,24000,4,1336.294095
18,96000,16000,6,689.620139
18,96000,12000,8,543.310787
18,96000,9600,10,510.266293
19,96000,48000,2,8856.975277
19,96000,24000,4,1241.766552
19,96000,16000,6,311.142536
19,96000,12000,8,622.216992
19,96000,9600,10,458.755353
20,96000,48000,2,176.222312
20,96000,24000,4,1431.522767
20,96000,16000,6,125.766889
20,96000,12000,8,549.529121
20,96000,9600,10,446.159032
21,96000,48000,2,8410.649671
21,96000,24000,4,1536.897078
21,96000,16000,6,248.626727
21,96000,12000,8,496.962932
21,96000,9600,10,500.315192
22,96000,48000,2,6294.841705
22,96000,24000,4,1197.241088
22,96000,16000,6,711.787977
22,96000,12000,8,26.243855
22,96000,9600,10,483.095933
23,96000,48000,2,7409.979909
23,96000,24000,4,1577.740749
23,96000,16000,6,714.161539
23,96000,12000,8,24.844718
23,96000,9600,10,487.494913
24,96000,48000,2,8108.584486
24,96000,24000,4,1552.471465
24,96000,16000,6,176.48651
24,96000,12000,8,528.270078
24,96000,9600,10,526.159339
25,96000,48000,2,8516.327859
25,96000,24000,4,606.350787
25,96000,16000,6,721.912331
25,96000,12000,8,535.5777
25,96000,9600,10,392.603357
26,96000,48000,2,398.039563
26,96000,24000,4,1484.088081
26,96000,16000,6,696.312588
26,96000,12000,8,521.966183
26,96000,9600,10,476.440106
27,96000,48000,2,247.473881
27,96000,24000,4,1163.269942
27,96000,16000,6,25.808536
27,96000,12000,8,91.46819
27,96000,9600,10,484.298025
28,96000,48000,2,1369.451115
28,96000,24000,4,376.276217
28,96000,16000,6,432.838914
28,96000,12000,8,343.359183
28,96000,9600,10,494.878911
29,96000,48000,2,8481.097844
29,96000,24000,4,1207.854201
29,96000,16000,6,286.040288
29,96000,12000,8,552.728888
29,96000,9600,10,475.594628
30,96000,48000,2,9001.659594
30,96000,24000,4,354.611772
30,96000,16000,6,378.47051
30,96000,12000,8,417.715128
30,96000,9600,10,414.505649
31,96000,48000,2,8526.518145
31,96000,24000,4,319.053553
31,96000,16000,6,623.500875
31,96000,12000,8,528.84468
31,96000,9600,10,412.296504
32,96000,48000,2,7822.991681
32,96000,24000,4,1530.040739
32,96000,16000,6,677.423703
32,96000,12000,8,539.266663
32,96000,9600,10,460.655639
33,96000,48000,2,4640.648613
33,96000,24000,4,955.230858
33,96000,16000,6,690.026249
33,96000,12000,8,5.768882
33,96000,9600,10,361.214787
34,96000,48000,2,7325.958765
34,96000,24000,4,1509.222202
34,96000,16000,6,707.610071
34,96000,12000,8,418.433814
34,96000,9600,10,469.036572
35,96000,48000,2,6097.328591
35,96000,24000,4,1443.471543
35,96000,16000,6,712.007949
35,96000,12000,8,534.130341
35,96000,9600,10,442.212703
36,96000,48000,2,619.410342
36,96000,24000,4,234.586962
36,96000,16000,6,331.650804
36,96000,12000,8,617.024207
36,96000,9600,10,455.071834
37,96000,48000,2,6375.254962
37,96000,24000,4,1269.138949
37,96000,16000,6,682.680468
37,96000,12000,8,542.450393
37,96000,9600,10,468.567916
38,96000,48000,2,655.577223
38,96000,24000,4,1603.127428
38,96000,16000,6,684.720787
38,96000,12000,8,532.836778
38,96000,9600,10,479.06383
39,96000,48000,2,633.367442
39,96000,24000,4,1569.18731
39,96000,16000,6,251.508898
39,96000,12000,8,501.579915
39,96000,9600,10,467.584384
40,96000,48000,2,10539.87923
40,96000,24000,4,1512.83956
40,96000,16000,6,568.030051
40,96000,12000,8,646.658489
40,96000,9600,10,419.891403
41,96000,48000,2,7955.058663
41,96000,24000,4,1563.981887
41,96000,16000,6,318.830464
41,96000,12000,8,462.116855
41,96000,9600,10,470.578544
42,96000,48000,2,257.62398
42,96000,24000,4,1517.781478
42,96000,16000,6,687.748893
42,96000,12000,8,541.935261
42,96000,9600,10,478.308948
43,96000,48000,2,8755.531925
43,96000,24000,4,1077.187305
43,96000,16000,6,551.23616
43,96000,12000,8,5.734469
43,96000,9600,10,509.042326
44,96000,48000,2,636.188688
44,96000,24000,4,1518.0175
44,96000,16000,6,492.487763
44,96000,12000,8,514.293165
44,96000,9600,10,484.26697
45,96000,48000,2,8691.469355
45,96000,24000,4,1424.1461
45,96000,16000,6,491.035876
45,96000,12000,8,544.823185
45,96000,9600,10,403.416946
46,96000,48000,2,8131.240331
46,96000,24000,4,1288.46333
46,96000,16000,6,401.480318
46,96000,12000,8,559.633706
46,96000,9600,10,448.368271
47,96000,48000,2,818.907711
47,96000,24000,4,1538.898172
47,96000,16000,6,136.560848
47,96000,12000,8,486.629424
47,96000,9600,10,480.831363
48,96000,48000,2,175.868843
48,96000,24000,4,1460.863582
48,96000,16000,6,708.182326
48,96000,12000,8,540.514152
48,96000,9600,10,478.442362
49,96000,48000,2,8819.167095
49,96000,24000,4,1492.998931
49,96000,16000,6,620.748294
49,96000,12000,8,457.385997
49,96000,9600,10,463.322028
