Iteracion,OperacionesTotales,OperacionesPorHilo,CantidadHilos,Time (ms)
0,96000,48000,2,237.613504
0,96000,24000,4,397.329117
0,96000,16000,6,1226.79206
0,96000,12000,8,472.615631
0,96000,9600,10,254.736488
1,96000,48000,2,38.583104
1,96000,24000,4,33.285568
1,96000,16000,6,1314.812658
1,96000,12000,8,577.831561
1,96000,9600,10,283.498814
2,96000,48000,2,38.105327
2,96000,24000,4,32.304586
2,96000,16000,6,1289.006954
2,96000,12000,8,381.802213
2,96000,9600,10,144.48278
3,96000,48000,2,38.594956
3,96000,24000,4,29.41182
3,96000,16000,6,228.779301
3,96000,12000,8,351.51741
3,96000,9600,10,267.77547
4,96000,48000,2,38.539859
4,96000,24000,4,39.002871
4,96000,16000,6,272.733338
4,96000,12000,8,482.650592
4,96000,9600,10,173.857137
5,96000,48000,2,56.842157
5,96000,24000,4,15.528034
5,96000,16000,6,227.280705
5,96000,12000,8,175.263563
5,96000,9600,10,216.169549
6,96000,48000,2,39.432557
6,96000,24000,4,1801.639485
6,96000,16000,6,1174.688616
6,96000,12000,8,762.46465
6,96000,9600,10,259.45277
7,96000,48000,2,41.723762
7,96000,24000,4,34.422163
7,96000,16000,6,101.14318
7,96000,12000,8,291.557446
7,96000,9600,10,419.254853
8,96000,48000,2,43.857405
8,96000,24000,4,876.632248
8,96000,16000,6,450.114884
8,96000,12000,8,326.534387
8,96000,9600,10,341.973426
9,96000,48000,2,41.422474
9,96000,24000,4,39.23577
9,96000,16000,6,76.877034
9,96000,12000,8,307.648548
9,96000,9600,10,235.182406
10,96000,48000,2,37.898658
10,96000,24000,4,3212.073448
10,96000,16000,6,256.944515
10,96000,12000,8,184.914357
10,96000,9600,10,190.835965
11,96000,48000,2,31.660503
11,96000,24000,4,12.118929
11,96000,16000,6,531.400661
11,96000,12000,8,469.478344
11,96000,9600,10,221.132944
12,96000,48000,2,35.444578
12,96000,24000,4,30.393862
12,96000,16000,6,885.545319
12,96000,12000,8,445.117705
12,96000,9600,10,248.524386
13,96000,48000,2,36.796499
13,96000,24000,4,58.616935
13,96000,16000,6,487.59937
13,96000,12000,8,815.003035
13,96000,9600,10,208.476407
14,96000,48000,2,38.883746
14,96000,24000,4,32.094392
14,96000,16000,6,972.91086
14,96000,12000,8,694.409785
14,96000,9600,10,383.929372
15,96000,48000,2,53.004651
15,96000,24000,4,18.07859
15,96000,16000,6,504.373746
15,96000,12000,8,726.381898
15,96000,9600,10,269.646245
16,96000,48000,2,60.940352
16,96000,24000,4,14.33966
16,96000,16000,6,530.298664
16,96000,12000,8,269.065961
16,96000,9600,10,182.551761
17,96000,48000,2,35.772092
17,96000,24000,4,334.77134
17,96000,16000,6,97.631514
17,96000,12000,8,556.613572
17,96000,9600,10,225.667527
18,96000,48000,2,47.255932
18,96000,24000,4,560.556089
18,96000,16000,6,62.267915
18,96000,12000,8,583.298278
18,96000,9600,10,256.48143
19,96000,48000,2,33.653233
19,96000,24000,4,58.02577
19,96000,16000,6,217.98028
19,96000,12000,8,569.463724
19,96000,9600,10,305.508876
20,96000,48000,2,40.401155
20,96000,24000,4,23.58987
20,96000,16000,6,637.38121
20,96000,12000,8,775.218602
20,96000,9600,10,190.630632
21,96000,48000,2,32.050259
21,96000,24000,4,445.40493
21,96000,16000,6,1820.781783
21,96000,12000,8,499.453065
21,96000,9600,10,382.661547
22,96000,48000,2,60.663247
22,96000,24000,4,3496.314376
22,96000,16000,6,727.188913
22,96000,12000,8,239.097185
22,96000,9600,10,25.190119
23,96000,48000,2,39.442903
23,96000,24000,4,30.812705
23,96000,16000,6,329.5273
23,96000,12000,8,957.374159
23,96000,9600,10,207.126138
24,96000,48000,2,27.17145
24,96000,24000,4,48.017333
