Iteracion,numAdders,numRemovers,Time (ms)
0,10000,1,9,536.384743
0,10000,2,8,635.426829
0,10000,3,7,840.121422
0,10000,4,6,1026.511109
0,10000,5,5,1200.94791
0,10000,6,4,1349.446122
0,10000,7,3,1521.61572
0,10000,8,2,1638.719903
0,10000,9,1,1862.264952
1,10000,1,9,507.907297
1,10000,2,8,633.680113
1,10000,3,7,858.446862
1,10000,4,6,1014.798359
1,10000,5,5,1193.836984
1,10000,6,4,1376.771357
1,10000,7,3,1493.271851
1,10000,8,2,1679.982929
1,10000,9,1,1778.361974
2,10000,1,9,457.546334
2,10000,2,8,622.375948
2,10000,3,7,857.522096
2,10000,4,6,1022.67682
2,10000,5,5,1194.553793
2,10000,6,4,1359.829106
2,10000,7,3,1512.810447
2,10000,8,2,1655.828178
2,10000,9,1,1792.690844
3,10000,1,9,488.191719
3,10000,2,8,645.271443
3,10000,3,7,840.762445
3,10000,4,6,1037.053836
3,10000,5,5,1203.627374
3,10000,6,4,1357.801355
3,10000,7,3,1534.394158
3,10000,8,2,1641.400513
3,10000,9,1,1768.422506
4,10000,1,9,508.521258
4,10000,2,8,625.416042
4,10000,3,7,852.600672
4,10000,4,6,1030.430046
4,10000,5,5,1207.256076
4,10000,6,4,1370.086629
4,10000,7,3,1514.460606
4,10000,8,2,1644.767927
4,10000,9,1,1799.86483
5,10000,1,9,501.96668
5,10000,2,8,644.701848
5,10000,3,7,860.35435
5,10000,4,6,1040.202025
5,10000,5,5,1214.141569
5,10000,6,4,1357.372935
5,10000,7,3,1520.526842
5,10000,8,2,1650.467787
5,10000,9,1,1780.318912
6,10000,1,9,519.453555
6,10000,2,8,635.683834
6,10000,3,7,844.226015
6,10000,4,6,1041.92626
6,10000,5,5,1191.224321
6,10000,6,4,1355.531288
6,10000,7,3,1510.756726
6,10000,8,2,1641.313943
6,10000,9,1,1821.493975
7,10000,1,9,489.827208
7,10000,2,8,645.721205
7,10000,3,7,843.521612
7,10000,4,6,1023.431383
7,10000,5,5,1187.910262
7,10000,6,4,1362.468841
7,10000,7,3,1522.07673
7,10000,8,2,1655.040451
7,10000,9,1,1793.216396
8,10000,1,9,508.650539
8,10000,2,8,654.768431
8,10000,3,7,858.193029
8,10000,4,6,1034.352999
8,10000,5,5,1212.775393
8,10000,6,4,1378.508861
8,10000,7,3,1515.055172
8,10000,8,2,1641.848418
8,10000,9,1,1798.275725
9,10000,1,9,516.541543
9,10000,2,8,642.68258
9,10000,3,7,845.726561
9,10000,4,6,1035.456435
9,10000,5,5,1203.284664
9,10000,6,4,1357.232411
9,10000,7,3,1527.955758
9,10000,8,2,1643.346705
9,10000,9,1,1825.385396
10,10000,1,9,499.051725
10,10000,2,8,637.956501
10,10000,3,7,859.472061
10,10000,4,6,1038.714563
10,10000,5,5,1191.869394
10,10000,6,4,1387.556268
10,10000,7,3,1518.081323
10,10000,8,2,1643.79822
10,10000,9,1,1781.083105
11,10000,1,9,495.841443
11,10000,2,8,655.078521
11,10000,3,7,850.083923
11,10000,4,6,1045.813526
11,10000,5,5,1199.123541
11,10000,6,4,1362.998075
11,10000,7,3,1500.230183
11,10000,8,2,1659.988955
11,10000,9,1,1803.258146
12,10000,1,9,486.09357
12,10000,2,8,623.517678
12,10000,3,7,851.831521
12,10000,4,6,1040.367087
12,10000,5,5,1194.471839
12,10000,6,4,1339.297124
12,10000,7,3,1503.64996
12,10000,8,2,1637.202894
12,10000,9,1,1834.638655
13,10000,1,9,508.714527
13,10000,2,8,689.506969
13,10000,3,7,837.632135
13,10000,4,6,1024.797455
13,10000,5,5,1198.318373
13,10000,6,4,1372.628868
13,10000,7,3,1505.690486
13,10000,8,2,1692.495981
13,10000,9,1,1797.410155
14,10000,1,9,499.206047
14,10000,2,8,625.972628
14,10000,3,7,840.541094
14,10000,4,6,1027.297399
14,10000,5,5,1190.651609
14,10000,6,4,1354.16795
14,10000,7,3,1508.740542
14,10000,8,2,1622.19944
14,10000,9,1,1844.344087
15,10000,1,9,514.239359
15,10000,2,8,638.989268
15,10000,3,7,860.071684
15,10000,4,6,1042.34162
15,10000,5,5,1201.647267
15,10000,6,4,1368.192814
15,10000,7,3,1510.458573
15,10000,8,2,1643.100517
15,10000,9,1,1888.288369
16,10000,1,9,520.009949
16,10000,2,8,621.574033
16,10000,3,7,841.841479
16,10000,4,6,1042.379446
16,10000,5,5,1202.302486
16,10000,6,4,1345.70816
16,10000,7,3,1489.120156
16,10000,8,2,1662.753206
16,10000,9,1,1795.141563
17,10000,1,9,511.549796
17,10000,2,8,646.107636
17,10000,3,7,845.127254
17,10000,4,6,1020.111993
17,10000,5,5,1203.912093
17,10000,6,4,1366.258996
17,10000,7,3,1501.645486
17,10000,8,2,1644.657194
17,10000,9,1,1765.50208
18,10000,1,9,494.030062
18,10000,2,8,640.341606
18,10000,3,7,838.333003
18,10000,4,6,1044.175979
18,10000,5,5,1204.188496
18,10000,6,4,1366.06405
18,10000,7,3,1503.942424
18,10000,8,2,1627.604147
18,10000,9,1,1813.771732
19,10000,1,9,508.16497
19,10000,2,8,648.582292
19,10000,3,7,825.091694
19,10000,4,6,1008.736289
19,10000,5,5,1201.366169
19,10000,6,4,1359.710477
19,10000,7,3,1511.741121
19,10000,8,2,1644.373528
19,10000,9,1,1775.213473
20,10000,1,9,518.042421
20,10000,2,8,623.542625
20,10000,3,7,826.510372
20,10000,4,6,1030.142811
20,10000,5,5,1189.505424
20,10000,6,4,1353.9059
20,10000,7,3,1502.867358
20,10000,8,2,1634.875442
20,10000,9,1,1797.72729
21,10000,1,9,514.217629
21,10000,2,8,638.780207
21,10000,3,7,835.402176
21,10000,4,6,1035.650215
21,10000,5,5,1196.036293
21,10000,6,4,1365.798309
21,10000,7,3,1536.013847
21,10000,8,2,1633.437733
21,10000,9,1,1781.107656
22,10000,1,9,493.639645
22,10000,2,8,642.439685
22,10000,3,7,840.763427
22,10000,4,6,1031.283853
22,10000,5,5,1198.714232
22,10000,6,4,1376.905467
22,10000,7,3,1507.669737
22,10000,8,2,1651.508312
22,10000,9,1,1796.712328
23,10000,1,9,502.840864
23,10000,2,8,633.427661
23,10000,3,7,848.568729
23,10000,4,6,1027.913217
23,10000,5,5,1194.867653
23,10000,6,4,1356.054877
23,10000,7,3,1512.263924
23,10000,8,2,1643.87121
23,10000,9,1,1770.717336
24,10000,1,9,492.132476
24,10000,2,8,648.479474
24,10000,3,7,838.387702
24,10000,4,6,1034.650744
24,10000,5,5,1192.687791
24,10000,6,4,1349.85429
24,10000,7,3,1539.39831
24,10000,8,2,1640.979649
24,10000,9,1,1754.958966
25,10000,1,9,511.451366
25,10000,2,8,618.192306
25,10000,3,7,855.191864
25,10000,4,6,1017.109007
25,10000,5,5,1208.243963
25,10000,6,4,1376.210867
25,10000,7,3,1503.138501
25,10000,8,2,1650.798034
25,10000,9,1,1797.0006
26,10000,1,9,514.524125
26,10000,2,8,652.34632
26,10000,3,7,838.25937
26,10000,4,6,1020.912799
26,10000,5,5,1199.567503
26,10000,6,4,1319.374766
26,10000,7,3,1513.065712
26,10000,8,2,1657.529694
26,10000,9,1,1800.002407
27,10000,1,9,501.64816
27,10000,2,8,641.311954
27,10000,3,7,827.247724
27,10000,4,6,1027.081321
27,10000,5,5,1207.864168
27,10000,6,4,1377.838398
27,10000,7,3,1530.550255
27,10000,8,2,1643.47083
27,10000,9,1,1767.405381
28,10000,1,9,487.100704
28,10000,2,8,627.584388
28,10000,3,7,854.887533
28,10000,4,6,1035.008102
28,10000,5,5,1197.762743
28,10000,6,4,1377.064375
28,10000,7,3,1518.650876
28,10000,8,2,1648.323598
28,10000,9,1,1800.700695
29,10000,1,9,512.145187
29,10000,2,8,652.033609
29,10000,3,7,840.884747
29,10000,4,6,1034.934528
29,10000,5,5,1185.885232
29,10000,6,4,1350.479156
29,10000,7,3,1498.473544
29,10000,8,2,1676.205254
29,10000,9,1,1795.147373
30,10000,1,9,505.285209
30,10000,2,8,617.864558
30,10000,3,7,829.956769
30,10000,4,6,1027.410914
30,10000,5,5,1211.254397
30,10000,6,4,1365.437424
30,10000,7,3,1515.599506
30,10000,8,2,1650.260981
30,10000,9,1,1841.16477
31,10000,1,9,501.565652
31,10000,2,8,629.993311
31,10000,3,7,844.173898
31,10000,4,6,1025.103954
31,10000,5,5,1203.94239
31,10000,6,4,1368.198506
31,10000,7,3,1509.574043
31,10000,8,2,1661.026805
31,10000,9,1,1792.579385
32,10000,1,9,492.426766
32,10000,2,8,653.522859
32,10000,3,7,860.714356
32,10000,4,6,1024.959159
32,10000,5,5,1206.236258
