Iteracion,numAdders,numRemovers,Time (ms)
0,10000,1,9,140.4268
0,10000,2,8,177.239695
0,10000,3,7,235.128957
0,10000,4,6,331.65147
0,10000,5,5,431.622849
0,10000,6,4,494.671607
0,10000,7,3,601.077459
0,10000,8,2,704.616081
0,10000,9,1,688.859328
1,10000,1,9,67.836589
1,10000,2,8,146.462707
1,10000,3,7,238.627563
1,10000,4,6,348.897338
1,10000,5,5,438.771291
1,10000,6,4,510.431203
1,10000,7,3,624.38465
1,10000,8,2,710.234036
1,10000,9,1,649.359526
2,10000,1,9,66.77435
2,10000,2,8,150.677984
2,10000,3,7,249.320739
2,10000,4,6,358.903269
2,10000,5,5,456.171168
2,10000,6,4,522.255095
2,10000,7,3,635.843214
2,10000,8,2,728.700816
2,10000,9,1,685.856415
3,10000,1,9,54.012128
3,10000,2,8,162.557626
3,10000,3,7,252.759558
3,10000,4,6,363.469147
3,10000,5,5,460.475582
3,10000,6,4,552.273829
3,10000,7,3,648.489386
3,10000,8,2,703.896927
3,10000,9,1,821.392087
4,10000,1,9,66.284774
4,10000,2,8,154.209756
4,10000,3,7,263.846493
4,10000,4,6,371.742865
4,10000,5,5,447.137235
4,10000,6,4,569.188041
4,10000,7,3,657.296798
4,10000,8,2,660.12591
4,10000,9,1,831.208013
5,10000,1,9,65.174179
5,10000,2,8,159.75297
5,10000,3,7,274.740415
5,10000,4,6,377.277028
5,10000,5,5,455.192264
5,10000,6,4,575.330233
5,10000,7,3,668.521471
5,10000,8,2,688.429121
5,10000,9,1,833.223007
6,10000,1,9,59.162614
6,10000,2,8,158.843093
6,10000,3,7,273.837485
6,10000,4,6,375.903639
6,10000,5,5,464.196279
6,10000,6,4,581.143483
6,10000,7,3,673.956324
6,10000,8,2,722.284313
6,10000,9,1,852.970914
7,10000,1,9,56.161685
7,10000,2,8,172.086107
7,10000,3,7,272.595161
7,10000,4,6,382.211286
7,10000,5,5,485.96867
7,10000,6,4,587.249979
7,10000,7,3,651.062806
7,10000,8,2,760.856859
7,10000,9,1,855.561557
8,10000,1,9,59.748501
8,10000,2,8,171.461162
8,10000,3,7,273.496415
8,10000,4,6,367.303846
8,10000,5,5,488.520706
8,10000,6,4,588.379018
8,10000,7,3,636.1475
8,10000,8,2,780.527966
8,10000,9,1,869.354733
9,10000,1,9,56.538696
9,10000,2,8,177.361565
9,10000,3,7,282.523278
9,10000,4,6,384.074123
9,10000,5,5,494.159219
9,10000,6,4,593.230718
9,10000,7,3,643.220822
