Iteracion,operacionesPorHilo,numAdders,numRemovers,Time (ms)
0,10000,1,9,116.906541
0,10000,2,8,176.936965
0,10000,3,7,327.469318
0,10000,4,6,478.657979
0,10000,5,5,634.663945
0,10000,6,4,704.905811
0,10000,7,3,896.607172
0,10000,8,2,1024.359272
0,10000,9,1,817.40631
1,10000,1,9,60.31926
1,10000,2,8,188.731002
1,10000,3,7,306.665369
1,10000,4,6,478.29853
1,10000,5,5,623.876388
1,10000,6,4,770.626034
1,10000,7,3,869.661873
1,10000,8,2,1053.980474
1,10000,9,1,1151.434448
2,10000,1,9,74.212392
2,10000,2,8,174.688146
2,10000,3,7,322.837934
2,10000,4,6,442.290538
2,10000,5,5,607.358377
2,10000,6,4,755.214839
2,10000,7,3,803.028402
2,10000,8,2,1030.737797
2,10000,9,1,1166.486427
3,10000,1,9,59.651921
3,10000,2,8,172.112743
3,10000,3,7,325.390255
3,10000,4,6,480.11909
3,10000,5,5,583.493509
3,10000,6,4,764.661586
3,10000,7,3,897.153532
3,10000,8,2,849.309017
3,10000,9,1,1147.947482
4,10000,1,9,61.294411
4,10000,2,8,165.210084
4,10000,3,7,329.346484
4,10000,4,6,476.695241
4,10000,5,5,622.465694
4,10000,6,4,716.157961
4,10000,7,3,905.189817
4,10000,8,2,1018.07395
4,10000,9,1,812.886543
5,10000,1,9,64.956398
5,10000,2,8,181.819567
5,10000,3,7,312.985234
5,10000,4,6,474.29054
5,10000,5,5,615.562062
5,10000,6,4,736.981244
5,10000,7,3,896.253597
5,10000,8,2,1035.168714
5,10000,9,1,1161.195386
6,10000,1,9,67.779363
6,10000,2,8,176.496845
6,10000,3,7,323.435935
6,10000,4,6,438.419062
6,10000,5,5,618.626787
6,10000,6,4,756.589003
6,10000,7,3,797.996267
6,10000,8,2,1040.445509
6,10000,9,1,1180.151199
7,10000,1,9,60.089258
7,10000,2,8,175.177725
7,10000,3,7,324.673966
7,10000,4,6,484.61472
7,10000,5,5,566.677789
7,10000,6,4,772.535124
7,10000,7,3,907.28795
7,10000,8,2,851.501959
7,10000,9,1,1157.683992
8,10000,1,9,62.138753
8,10000,2,8,177.464476
8,10000,3,7,339.244174
8,10000,4,6,484.587647
8,10000,5,5,625.727933
8,10000,6,4,700.590572
8,10000,7,3,912.457731
8,10000,8,2,1036.034367
8,10000,9,1,814.432756
9,10000,1,9,64.307663
9,10000,2,8,173.628045
9,10000,3,7,307.823914
9,10000,4,6,482.487709
9,10000,5,5,621.709648
9,10000,6,4,756.904318
9,10000,7,3,915.284902
9,10000,8,2,1031.006601
9,10000,9,1,1149.222437
10,10000,1,9,65.847726
10,10000,2,8,178.543472
10,10000,3,7,329.218052
10,10000,4,6,448.949636
10,10000,5,5,619.869892
10,10000,6,4,775.830967
10,10000,7,3,786.398853
10,10000,8,2,1028.04236
10,10000,9,1,1155.843469
11,10000,1,9,67.026595
11,10000,2,8,174.151674
11,10000,3,7,333.042467
11,10000,4,6,474.628334
11,10000,5,5,578.880053
11,10000,6,4,776.37878
11,10000,7,3,900.828266
11,10000,8,2,847.794726
11,10000,9,1,1167.942939
12,10000,1,9,59.169293
12,10000,2,8,174.446572
12,10000,3,7,334.165917
12,10000,4,6,477.658827
12,10000,5,5,629.586137
12,10000,6,4,732.195376
12,10000,7,3,909.903291
12,10000,8,2,1051.486689
12,10000,9,1,816.687873
13,10000,1,9,64.850474
13,10000,2,8,184.694729
13,10000,3,7,307.580303
13,10000,4,6,473.293797
13,10000,5,5,634.780102
13,10000,6,4,728.914528
13,10000,7,3,893.074685
13,10000,8,2,1028.141973
13,10000,9,1,1184.943154
14,10000,1,9,63.509792
14,10000,2,8,173.182666
14,10000,3,7,326.942701
