Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
0,10000,2,373.637362
0,10000,4,517.171307
0,10000,6,711.487286
0,10000,8,1013.085493
0,10000,10,1143.854615
1,10000,2,321.333551
1,10000,4,519.004295
1,10000,6,676.942943
1,10000,8,986.635623
1,10000,10,1146.694874
2,10000,2,298.430171
2,10000,4,501.578219
2,10000,6,688.60879
2,10000,8,990.867791
2,10000,10,1175.715123
3,10000,2,318.933594
3,10000,4,519.075107
3,10000,6,707.762606
3,10000,8,981.467019
3,10000,10,1190.852266
4,10000,2,334.096119
4,10000,4,504.024449
4,10000,6,690.763818
4,10000,8,1008.97257
4,10000,10,1154.633418
5,10000,2,323.308006
5,10000,4,490.451718
5,10000,6,699.422978
5,10000,8,1017.364097
5,10000,10,1184.271252
6,10000,2,319.402496
6,10000,4,526.138876
6,10000,6,687.08844
6,10000,8,981.854816
6,10000,10,1185.727605
7,10000,2,344.181727
7,10000,4,511.458762
7,10000,6,671.256012
7,10000,8,995.705114
7,10000,10,1163.445619
8,10000,2,316.884512
8,10000,4,528.085529
8,10000,6,693.303753
8,10000,8,991.71009
8,10000,10,1156.614243
9,10000,2,330.41628
9,10000,4,516.330827
9,10000,6,687.5058
9,10000,8,1004.747422
9,10000,10,1161.5505
10,10000,2,311.974403
10,10000,4,518.94466
10,10000,6,690.382863
10,10000,8,997.326335
10,10000,10,1179.763505
11,10000,2,314.936941
11,10000,4,520.380988
11,10000,6,712.794001
11,10000,8,1019.490887
11,10000,10,1154.702483
12,10000,2,315.938138
12,10000,4,510.043999
12,10000,6,679.414613
12,10000,8,979.695549
12,10000,10,1153.634505
13,10000,2,312.986741
13,10000,4,514.987321
13,10000,6,675.426361
13,10000,8,995.813896
13,10000,10,1166.482176
14,10000,2,315.958409
14,10000,4,524.789266
14,10000,6,716.59458
14,10000,8,1005.130529
14,10000,10,1152.467565
15,10000,2,341.074229
15,10000,4,506.797237
15,10000,6,705.209472
15,10000,8,992.942558
15,10000,10,1176.638552
16,10000,2,309.895425
16,10000,4,523.976494
16,10000,6,683.90215
16,10000,8,1008.84695
16,10000,10,1165.547532
17,10000,2,320.084827
17,10000,4,516.521569
17,10000,6,691.993137
17,10000,8,1036.096237
17,10000,10,1156.035263
18,10000,2,331.411895
18,10000,4,520.569905
18,10000,6,664.135639
18,10000,8,998.596128
18,10000,10,1161.240005
19,10000,2,328.971886
19,10000,4,504.092589
19,10000,6,687.036067
19,10000,8,1005.725579
19,10000,10,1153.500851
20,10000,2,299.268143
20,10000,4,530.557035
20,10000,6,691.277631
20,10000,8,1001.120959
20,10000,10,1157.899646
21,10000,2,297.488002
21,10000,4,525.864063
21,10000,6,699.390496
21,10000,8,971.806616
21,10000,10,1182.043
22,10000,2,340.994859
22,10000,4,532.242887
22,10000,6,727.140356
22,10000,8,1001.668785
22,10000,10,1175.15499
23,10000,2,330.929971
23,10000,4,509.67309
23,10000,6,697.979724
23,10000,8,988.262954
23,10000,10,1183.434089
24,10000,2,313.459203
24,10000,4,524.569846
24,10000,6,663.436705
24,10000,8,996.133734
24,10000,10,1160.653372
25,10000,2,327.675559
25,10000,4,515.712536
25,10000,6,695.858212
25,10000,8,968.257382
25,10000,10,1161.763584
26,10000,2,305.047713
26,10000,4,517.021792
26,10000,6,712.395235
26,10000,8,1002.279721
26,10000,10,1174.96143
27,10000,2,330.923245
27,10000,4,522.488425
27,10000,6,700.896531
27,10000,8,1007.186986
27,10000,10,1155.776877
28,10000,2,333.912924
28,10000,4,516.111587
28,10000,6,718.727667
28,10000,8,1021.155248
28,10000,10,1160.294201
29,10000,2,333.802944
29,10000,4,523.52483
29,10000,6,666.773061
29,10000,8,982.352196
29,10000,10,1160.686481
30,10000,2,301.724495
30,10000,4,503.930673
30,10000,6,685.748571
30,10000,8,1016.951328
30,10000,10,1179.248697
31,10000,2,316.012761
31,10000,4,526.714311
31,10000,6,693.099585
31,10000,8,1010.651011
31,10000,10,1151.960354
32,10000,2,315.627432
32,10000,4,518.944494
32,10000,6,692.668715
32,10000,8,1018.155106
32,10000,10,1146.155594
33,10000,2,326.136979
33,10000,4,520.987714
33,10000,6,690.73003
33,10000,8,981.803913
33,10000,10,1168.326864
34,10000,2,317.266757
34,10000,4,509.27453
34,10000,6,699.488252
34,10000,8,1036.13519
34,10000,10,1167.264016
35,10000,2,342.964389
35,10000,4,513.271146
35,10000,6,656.930534
35,10000,8,1030.815415
35,10000,10,1144.420313
36,10000,2,310.456355
36,10000,4,526.732111
36,10000,6,713.364116
36,10000,8,988.92735
36,10000,10,1149.34363
37,10000,2,332.606819
37,10000,4,526.477137
37,10000,6,684.584505
37,10000,8,984.309507
37,10000,10,1148.464171
38,10000,2,326.761768
