Iteracion,OperacionesPorHilo,CantidadHilos,Time (ms)
0,10000,2,296.496463
0,10000,4,420.614387
0,10000,6,513.918221
0,10000,8,573.352957
0,10000,10,596.493472
1,10000,2,275.549831
1,10000,4,399.257477
1,10000,6,506.27918
1,10000,8,568.174006
1,10000,10,556.057791
2,10000,2,259.751688
2,10000,4,380.952572
2,10000,6,501.549998
2,10000,8,568.350831
2,10000,10,537.961612
3,10000,2,317.450952
3,10000,4,376.43959
3,10000,6,513.344722
3,10000,8,561.624556
3,10000,10,546.142229
4,10000,2,270.319742
4,10000,4,431.905165
4,10000,6,506.175364
4,10000,8,561.648868
4,10000,10,558.901674
5,10000,2,273.69961
5,10000,4,395.090947
5,10000,6,512.560623
5,10000,8,565.471784
5,10000,10,599.129989
6,10000,2,211.482931
6,10000,4,415.861943
6,10000,6,510.871301
6,10000,8,567.40599
6,10000,10,587.375605
7,10000,2,290.021969
7,10000,4,348.21389
7,10000,6,515.79957
7,10000,8,560.979684
7,10000,10,596.86461
8,10000,2,249.090998
8,10000,4,358.504308
8,10000,6,489.296265
8,10000,8,569.03826
8,10000,10,590.592942
9,10000,2,258.569636
9,10000,4,406.986454
9,10000,6,487.128575
9,10000,8,575.144386
9,10000,10,600.968481
10,10000,2,266.589858
10,10000,4,410.509523
10,10000,6,452.403869
10,10000,8,561.117305
10,10000,10,582.856444
11,10000,2,277.186539
11,10000,4,402.714507
11,10000,6,453.889337
11,10000,8,568.736188
11,10000,10,603.693333
12,10000,2,230.02725
12,10000,4,395.411795
12,10000,6,445.585847
12,10000,8,581.334193
12,10000,10,603.634369
13,10000,2,260.374517
13,10000,4,390.318961
13,10000,6,503.28817
13,10000,8,549.372223
13,10000,10,604.185572
14,10000,2,302.077808
14,10000,4,398.766042
14,10000,6,516.231454
14,10000,8,513.373142
14,10000,10,596.64802
15,10000,2,287.126656
15,10000,4,421.909059
15,10000,6,498.394017
15,10000,8,511.590738
15,10000,10,600.151281
16,10000,2,287.132569
16,10000,4,392.311026
16,10000,6,497.183615
16,10000,8,498.949269
16,10000,10,603.820223
17,10000,2,251.688314
17,10000,4,393.551492
17,10000,6,526.313138
17,10000,8,560.938914
17,10000,10,601.672123
18,10000,2,275.803073
18,10000,4,405.420758
18,10000,6,528.968328
18,10000,8,566.61806
18,10000,10,561.259588
19,10000,2,261.532902
19,10000,4,365.743198
19,10000,6,511.840135
19,10000,8,571.217159
19,10000,10,563.127761
20,10000,2,311.746417
20,10000,4,386.256113
20,10000,6,524.76679
20,10000,8,564.463822
20,10000,10,557.583065
21,10000,2,298.343375
21,10000,4,396.753881
21,10000,6,518.940491
21,10000,8,575.833344
21,10000,10,555.728833
22,10000,2,263.778076
22,10000,4,408.509043
22,10000,6,493.964075
22,10000,8,577.150238
22,10000,10,602.709308
23,10000,2,211.936273
23,10000,4,374.485686
23,10000,6,507.022157
23,10000,8,580.730219
23,10000,10,608.046069
24,10000,2,260.473481
24,10000,4,357.855646
24,10000,6,507.30714
24,10000,8,564.314409
24,10000,10,597.541009
25,10000,2,269.676183
25,10000,4,320.732568
25,10000,6,531.646413
25,10000,8,582.600062
25,10000,10,601.485042
26,10000,2,330.470336
26,10000,4,394.407759
26,10000,6,497.984234
26,10000,8,570.57843
26,10000,10,584.157198
27,10000,2,287.420803
27,10000,4,398.388335
27,10000,6,452.749945
27,10000,8,566.694299
27,10000,10,602.134455
28,10000,2,310.956332
28,10000,4,394.940638
28,10000,6,438.143661
28,10000,8,562.596853
28,10000,10,588.551837
29,10000,2,276.183434
29,10000,4,382.218923
29,10000,6,435.639548
29,10000,8,552.093255
29,10000,10,584.993557
30,10000,2,255.843856
30,10000,4,410.230613
30,10000,6,465.248361
30,10000,8,558.361738
30,10000,10,595.014334
31,10000,2,244.273003
31,10000,4,410.161825
31,10000,6,500.615599
31,10000,8,533.352004
31,10000,10,589.920163
32,10000,2,300.981197
32,10000,4,393.901374
32,10000,6,510.325794
32,10000,8,516.200148
32,10000,10,599.313365
33,10000,2,300.511169
33,10000,4,397.56581
33,10000,6,506.868723
33,10000,8,502.421398
33,10000,10,599.591254
34,10000,2,304.979295
34,10000,4,417.800905
34,10000,6,501.29322
34,10000,8,524.398236
34,10000,10,593.806384
35,10000,2,300.115521
35,10000,4,397.471338
35,10000,6,513.889612
35,10000,8,564.223951
35,10000,10,566.055846
36,10000,2,286.617112
36,10000,4,386.758809
36,10000,6,501.706631
36,10000,8,559.95482
36,10000,10,549.50803
37,10000,2,268.676514
37,10000,4,396.246694
37,10000,6,501.079119
37,10000,8,564.464057
37,10000,10,538.271174
38,10000,2,283.707632
38,10000,4,434.063332
38,10000,6,489.241137
38,10000,8,566.756102
38,10000,10,542.616424
39,10000,2,262.951288
39,10000,4,401.139106
39,10000,6,513.21558
39,10000,8,556.833208
39,10000,10,600.48761
40,10000,2,260.283147
40,10000,4,383.63549
40,10000,6,490.270609
40,10000,8,571.302473
40,10000,10,599.285889
41,10000,2,288.460589
41,10000,4,348.59689
41,10000,6,502.304921
41,10000,8,568.137836
41,10000,10,601.675619
42,10000,2,311.7637
42,10000,4,356.664758
42,10000,6,504.113792
42,10000,8,553.882914
42,10000,10,593.604533
