Iteracion,OperacionesTotales,OperacionesPorHilo,CantidadHilos,Time (ms)
0,96000,48000,2,5573.51458
0,96000,24000,4,2250.181952
0,96000,16000,6,1509.235334
0,96000,12000,8,1316.574364
0,96000,9600,10,1051.974384
1,96000,48000,2,5539.228623
1,96000,24000,4,2210.864845
1,96000,16000,6,1529.797994
1,96000,12000,8,1301.476005
1,96000,9600,10,1050.114698
2,96000,48000,2,5561.430845
2,96000,24000,4,2179.503276
2,96000,16000,6,1511.471337
2,96000,12000,8,1282.98368
2,96000,9600,10,1047.454592
3,96000,48000,2,5397.758077
3,96000,24000,4,2232.860227
3,96000,16000,6,1493.373882
3,96000,12000,8,1295.000499
3,96000,9600,10,1042.070505
4,96000,48000,2,5532.887113
4,96000,24000,4,2256.964235
4,96000,16000,6,1508.854923
4,96000,12000,8,1321.427654
4,96000,9600,10,1043.503253
5,96000,48000,2,5637.212914
5,96000,24000,4,2237.974753
5,96000,16000,6,1478.207083
5,96000,12000,8,1329.356875
5,96000,9600,10,1053.938244
6,96000,48000,2,5527.146285
6,96000,24000,4,2458.823893
6,96000,16000,6,1502.964914
6,96000,12000,8,1310.184957
6,96000,9600,10,1047.690057
7,96000,48000,2,5548.488562
7,96000,24000,4,2256.787138
7,96000,16000,6,1490.801712
7,96000,12000,8,1308.47986
7,96000,9600,10,1047.458413
8,96000,48000,2,5835.276445
8,96000,24000,4,2229.372219
8,96000,16000,6,1512.579532
8,96000,12000,8,1344.002394
8,96000,9600,10,1067.628139
9,96000,48000,2,5313.530452
9,96000,24000,4,2495.944248
9,96000,16000,6,1511.25906
9,96000,12000,8,1317.207162
9,96000,9600,10,1043.262203
10,96000,48000,2,5480.447259
10,96000,24000,4,2285.908715
10,96000,16000,6,1494.911397
10,96000,12000,8,1327.354849
10,96000,9600,10,1044.590282
11,96000,48000,2,5555.987661
11,96000,24000,4,2261.56632
11,96000,16000,6,1493.749789
11,96000,12000,8,1398.805659
11,96000,9600,10,1053.346816
12,96000,48000,2,5436.761062
12,96000,24000,4,2245.861318
12,96000,16000,6,1487.01513
12,96000,12000,8,1293.492219
12,96000,9600,10,1038.833561
13,96000,48000,2,5337.48486
13,96000,24000,4,2180.544338
13,96000,16000,6,1501.501807
13,96000,12000,8,1310.824189
13,96000,9600,10,1051.553804
14,96000,48000,2,5484.110022
14,96000,24000,4,2278.914066
14,96000,16000,6,1513.434424
14,96000,12000,8,1309.353298
14,96000,9600,10,1044.592681
15,96000,48000,2,5654.411207
15,96000,24000,4,2115.948343
15,96000,16000,6,1490.968435
15,96000,12000,8,1352.827658
15,96000,9600,10,1039.308749
