Iteracion,OperacionesTotales,OperacionesPorHilo,CantidadHilos,Time (ms)
0,96000,48000,2,4271.447451
0,96000,24000,4,1920.821473
0,96000,16000,6,1108.695711
0,96000,12000,8,699.234754
0,96000,9600,10,448.718296
1,96000,48000,2,5606.100876
1,96000,24000,4,2137.504477
1,96000,16000,6,1084.613889
1,96000,12000,8,680.197967
1,96000,9600,10,446.492807
2,96000,48000,2,5572.236509
2,96000,24000,4,2039.404003
2,96000,16000,6,1103.626957
2,96000,12000,8,696.477749
2,96000,9600,10,440.567481
3,96000,48000,2,6029.721716
3,96000,24000,4,1993.285258
3,96000,16000,6,1053.390624
3,96000,12000,8,676.089864
3,96000,9600,10,453.152663
4,96000,48000,2,4361.492822
4,96000,24000,4,2036.808392
4,96000,16000,6,1080.126908
4,96000,12000,8,640.871517
4,96000,9600,10,447.107298
5,96000,48000,2,5920.232141
5,96000,24000,4,1850.487025
5,96000,16000,6,1101.857685
5,96000,12000,8,682.149259
5,96000,9600,10,429.942603
6,96000,48000,2,5646.97836
6,96000,24000,4,2029.781127
6,96000,16000,6,1077.654343
6,96000,12000,8,668.725474
6,96000,9600,10,457.405931
7,96000,48000,2,5826.932994
7,96000,24000,4,1963.698753
7,96000,16000,6,1117.626286
7,96000,12000,8,673.160872
7,96000,9600,10,429.878918
8,96000,48000,2,5591.770711
8,96000,24000,4,2042.720311
8,96000,16000,6,1042.36892
8,96000,12000,8,652.989199
8,96000,9600,10,450.267855
9,96000,48000,2,4465.59849
9,96000,24000,4,2118.222093
9,96000,16000,6,1114.943869
9,96000,12000,8,662.510734
9,96000,9600,10,451.394943
10,96000,48000,2,5433.774034
10,96000,24000,4,1926.670466
10,96000,16000,6,1102.938449
10,96000,12000,8,664.37124
10,96000,9600,10,427.345378
11,96000,48000,2,5551.015392
11,96000,24000,4,2068.085154
11,96000,16000,6,1079.766191
11,96000,12000,8,672.086737
11,96000,9600,10,440.100625
12,96000,48000,2,5644.011921
12,96000,24000,4,1927.91598
12,96000,16000,6,1115.650495
12,96000,12000,8,698.277465
12,96000,9600,10,437.500888
13,96000,48000,2,5588.757527
13,96000,24000,4,2046.887897
13,96000,16000,6,1057.036892
13,96000,12000,8,687.413572
13,96000,9600,10,445.777161
14,96000,48000,2,4674.667904
14,96000,24000,4,1998.713996
14,96000,16000,6,1101.414329
14,96000,12000,8,642.131071
14,96000,9600,10,448.430509
15,96000,48000,2,5835.668525
15,96000,24000,4,1913.763122
15,96000,16000,6,1085.364839
15,96000,12000,8,684.812757
15,96000,9600,10,435.155894
16,96000,48000,2,5704.971699
16,96000,24000,4,2040.917073
16,96000,16000,6,1071.39442
16,96000,12000,8,685.130844
16,96000,9600,10,449.893827
17,96000,48000,2,5707.412124
17,96000,24000,4,1874.983987
17,96000,16000,6,1079.808827
17,96000,12000,8,683.813713
17,96000,9600,10,432.916786
18,96000,48000,2,5380.628615
18,96000,24000,4,2096.134497
18,96000,16000,6,1017.956177
18,96000,12000,8,676.958021
18,96000,9600,10,440.774054
19,96000,48000,2,4568.828515
19,96000,24000,4,2018.476513
19,96000,16000,6,1101.630464
19,96000,12000,8,655.96342
19,96000,9600,10,452.198468
20,96000,48000,2,5739.770033
20,96000,24000,4,1945.808874
20,96000,16000,6,1085.643318
20,96000,12000,8,683.347662
20,96000,9600,10,449.287611
21,96000,48000,2,5626.455657
21,96000,24000,4,2018.365848
21,96000,16000,6,1092.568058
21,96000,12000,8,650.717425
21,96000,9600,10,445.962386
22,96000,48000,2,5653.021429
22,96000,24000,4,1911.59626
22,96000,16000,6,1102.43222
22,96000,12000,8,679.077569
22,96000,9600,10,429.467997
23,96000,48000,2,5536.218464
23,96000,24000,4,2052.742258
23,96000,16000,6,1029.699354
23,96000,12000,8,683.785208
23,96000,9600,10,444.261548
24,96000,48000,2,4700.607974
24,96000,24000,4,2023.87996
