Iteracion,OperacionesTotales,OperacionesPorHilo,CantidadHilos,Time (ms)
0,96000,48000,2,7149.475755
0,96000,24000,4,2469.309361
0,96000,16000,6,1273.244484
0,96000,12000,8,827.81895
0,96000,9600,10,529.070083
1,96000,48000,2,5391.07103
1,96000,24000,4,2467.352597
1,96000,16000,6,1318.726958
1,96000,12000,8,734.717676
1,96000,9600,10,523.753865
2,96000,48000,2,7092.901607
2,96000,24000,4,2465.588666
2,96000,16000,6,1215.049079
2,96000,12000,8,813.230851
2,96000,9600,10,523.534753
3,96000,48000,2,5664.631853
3,96000,24000,4,2600.219903
3,96000,16000,6,1365.397403
3,96000,12000,8,750.997936
3,96000,9600,10,535.448762
4,96000,48000,2,6917.021294
4,96000,24000,4,2571.94913
4,96000,16000,6,1187.129551
4,96000,12000,8,817.251709
4,96000,9600,10,528.115215
5,96000,48000,2,5522.539558
5,96000,24000,4,2502.694282
5,96000,16000,6,1349.920769
5,96000,12000,8,753.170392
5,96000,9600,10,530.674005
6,96000,48000,2,6907.990028
6,96000,24000,4,2587.049051
6,96000,16000,6,1190.963984
6,96000,12000,8,815.21909
6,96000,9600,10,521.646876
7,96000,48000,2,5479.731518
7,96000,24000,4,2523.94676
7,96000,16000,6,1332.640871
7,96000,12000,8,751.005733
7,96000,9600,10,526.468533
8,96000,48000,2,7054.572149
8,96000,24000,4,2500.005502
8,96000,16000,6,1192.915498
8,96000,12000,8,811.497881
8,96000,9600,10,533.593259
9,96000,48000,2,5532.58307
9,96000,24000,4,2496.159645
9,96000,16000,6,1343.342484
9,96000,12000,8,737.90619
9,96000,9600,10,529.531756
10,96000,48000,2,6897.081238
10,96000,24000,4,2410.679968
10,96000,16000,6,1194.098043
10,96000,12000,8,825.65737
10,96000,9600,10,522.295143
11,96000,48000,2,5143.740077
11,96000,24000,4,2547.711053
11,96000,16000,6,1365.083473
11,96000,12000,8,730.997404
11,96000,9600,10,527.639343
12,96000,48000,2,6986.121911
12,96000,24000,4,2650.58751
12,96000,16000,6,1216.02369
12,96000,12000,8,804.971577
12,96000,9600,10,529.489813
13,96000,48000,2,5451.706044
13,96000,24000,4,2573.177656
13,96000,16000,6,1338.662954
13,96000,12000,8,757.709626
13,96000,9600,10,542.065676
14,96000,48000,2,6837.353708
14,96000,24000,4,2600.328002
14,96000,16000,6,1212.95221
14,96000,12000,8,792.590402
14,96000,9600,10,524.996094
15,96000,48000,2,5697.698953
15,96000,24000,4,2491.894518
15,96000,16000,6,1377.004657
15,96000,12000,8,740.687942
15,96000,9600,10,519.59216
16,96000,48000,2,6815.264217
16,96000,24000,4,2628.631474
16,96000,16000,6,1209.565658
16,96000,12000,8,792.841596
16,96000,9600,10,533.642079
17,96000,48000,2,5558.926129
17,96000,24000,4,2515.984455
